,지역,날짜,거래건수
0,종로구,202508,43
1,종로구,202509,68
2,종로구,202510,89
3,종로구,202511,25
4,종로구,202512,44
5,종로구,202601,46
6,종로구,202602,52
7,종로구,202603,56
8,종로구,202604,89
9,종로구,202605,89
10,종로구,202606,33
11,종로구,202607,32
12,광진구,202508,106
13,광진구,202509,306
14,광진구,202510,275
15,광진구,202511,38
16,광진구,202512,68
17,광진구,202601,69
18,광진구,202602,79
19,광진구,202603,65
20,광진구,202604,133
21,광진구,202605,202
22,광진구,202606,75
23,광진구,202607,71
24,관악구,202508,149
25,관악구,202509,303
26,관악구,202510,298
27,관악구,202511,103
28,관악구,202512,167
29,관악구,202601,198
30,관악구,202602,226
31,관악구,202603,222
32,관악구,202604,306
33,관악구,202605,377
34,관악구,202606,166
35,관악구,202607,182
